C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_13_322.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_13_322.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_13_322.jpg, 0, 0, 0, 7.774901E-05
C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_13_424.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_13_424.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_13_424.jpg, 0, 0, 0, 7.785516E-05
C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_13_525.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_13_525.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_13_525.jpg, 0, 0, 0, 7.846504E-05
C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_13_627.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_13_627.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_13_627.jpg, 0, 0, 0, 7.976341E-05
C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_13_729.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_13_729.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_13_729.jpg, 0, 0, 0, 8.00665E-05
C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_13_829.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_13_829.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_13_829.jpg, 0, 0, 0, 7.820054E-05
C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_13_931.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_13_931.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_13_931.jpg, 0, 0, 0, 7.818986E-05
C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_14_035.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_14_035.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_14_035.jpg, 0, 0, 0, 7.952811E-05
C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_14_135.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_14_135.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_14_135.jpg, 0, 0, 0, 7.797272E-05
C:\Users\sinha\Downloads\data\IMG\center_2021_07_25_10_14_14_238.jpg, C:\Users\sinha\Downloads\data\IMG\left_2021_07_25_10_14_14_238.jpg, C:\Users\sinha\Downloads\data\IMG\right_2021_07_25_10_14_14_238.jpg, 0, 0, 0, 7.793913E-05
